,Collected,Exp_type,Exp_ID,Exp_FTP,Pltf_ID,Pltf_FTP,Sample_desc,Exp_desc,Sample_ID,Sample_FTP,Sample_ORG,Sample_acc,Source,Sample_class
GSM2881220,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_INH_24hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881220,dnf,Mycobacterium tuberculosis H37Rv,SRX3456124,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881219,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_INH_24hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881219,dnf,Mycobacterium tuberculosis H37Rv,SRX3456123,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881218,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_CIP_24hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881218,dnf,Mycobacterium tuberculosis H37Rv,SRX3456122,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881216,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_CIP_24hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881216,dnf,Mycobacterium tuberculosis H37Rv,SRX3456120,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881212,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_RIF_4hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881212,dnf,Mycobacterium tuberculosis H37Rv,SRX3456116,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881211,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_RIF_4hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881211,dnf,Mycobacterium tuberculosis H37Rv,SRX3456115,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881210,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_RIF_4hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881210,dnf,Mycobacterium tuberculosis H37Rv,SRX3456114,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881209,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_STR_4hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881209,dnf,Mycobacterium tuberculosis H37Rv,SRX3456113,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881208,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_STR_4hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881208,dnf,Mycobacterium tuberculosis H37Rv,SRX3456112,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881207,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_STR_4hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881207,dnf,Mycobacterium tuberculosis H37Rv,SRX3456111,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881206,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_EMB_4hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881206,dnf,Mycobacterium tuberculosis H37Rv,SRX3456110,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881205,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_EMB_4hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881205,dnf,Mycobacterium tuberculosis H37Rv,SRX3456109,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881203,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_INH_4hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881203,dnf,Mycobacterium tuberculosis H37Rv,SRX3456107,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881199,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_CIP_4hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881199,dnf,Mycobacterium tuberculosis H37Rv,SRX3456103,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881217,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_CIP_24hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881217,dnf,Mycobacterium tuberculosis H37Rv,SRX3456121,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881204,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_EMB_4hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881204,dnf,Mycobacterium tuberculosis H37Rv,SRX3456108,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881202,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_INH_4hrs_rep2," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881202,dnf,Mycobacterium tuberculosis H37Rv,SRX3456106,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881201,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_INH_4hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881201,dnf,Mycobacterium tuberculosis H37Rv,SRX3456105,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881200,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_CIP_4hrs_rep3," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881200,dnf,Mycobacterium tuberculosis H37Rv,SRX3456104,M. tuberculosis H37Rv,Manually IDd non-viable
GSM2881198,Y,Expression profiling by high throughput sequencing,GSE107831,ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107831,GPL17280,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL17nnn/GPL17280, Mtb_CIP_4hrs_rep1," Accelerating early anti-TB drug discovery by creating mycobacterial indicator strains that predict mode of action [Mycobacterium tuberculosis]
(Submitter supplied) Due to the rise of drug resistant forms of tuberculosis there is an urgent need for novel antibiotics to effectively combat these cases and to shorten treatment regimens. Recently, drug screens using whole cell analyses have shown to be successful. However, current high throughput screens focus mostly on stricto sensu life-death screening that give little qualitative information and often require the lengthy process of target and mode of action (MoA) identification. more...",GSM2881198,dnf,Mycobacterium tuberculosis H37Rv,SRX3456102,M. tuberculosis H37Rv,Manually IDd non-viable
GSM3377813,Y,Expression profiling by high throughput sequencing,GSE119585,ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119585,GPL23592,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL23nnn/GPL23592, H37Rv_20CLA_D1_rep2," Transcriptional Response of Mycobacterium tuberculosis H37Rv to Anti-TB drugs
(Submitter supplied) This SuperSeries is composed of the SubSeries listed below.",GSM3377813,dnf,Mycobacterium tuberculosis; Mycobacterium tuberculosis H37Rv,SRX4647121,H37Rv_20CLA_D1,Manually IDd non-viable
GSM3377812,Y,Expression profiling by high throughput sequencing,GSE119585,ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119585,GPL23592,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL23nnn/GPL23592, H37Rv_20CLA_D1_rep1," Transcriptional Response of Mycobacterium tuberculosis H37Rv to Anti-TB drugs
(Submitter supplied) This SuperSeries is composed of the SubSeries listed below.",GSM3377812,dnf,Mycobacterium tuberculosis; Mycobacterium tuberculosis H37Rv,SRX4647120,H37Rv_20CLA_D1,Manually IDd non-viable
GSM3318581,Y,Expression profiling by high throughput sequencing,GSE119585,ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119585,GPL22688,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL22nnn/GPL22688, H37Rv_4LZD_D1_rep4," Transcriptional Response of Mycobacterium tuberculosis H37Rv to Anti-TB drugs
(Submitter supplied) This SuperSeries is composed of the SubSeries listed below.",GSM3318581,dnf,Mycobacterium tuberculosis; Mycobacterium tuberculosis H37Rv,SRX4506285,H37Rv Mycobacterium tuberculosis,Manually IDd non-viable
GSM3318579,Y,Expression profiling by high throughput sequencing,GSE119585,ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119585,GPL22688,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL22nnn/GPL22688, H37Rv_4LZD_D1_rep3," Transcriptional Response of Mycobacterium tuberculosis H37Rv to Anti-TB drugs
(Submitter supplied) This SuperSeries is composed of the SubSeries listed below.",GSM3318579,dnf,Mycobacterium tuberculosis; Mycobacterium tuberculosis H37Rv,SRX4506283,H37Rv Mycobacterium tuberculosis,Manually IDd non-viable
GSM3318577,Y,Expression profiling by high throughput sequencing,GSE119585,ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119585,GPL22688,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL22nnn/GPL22688, H37Rv_4LZD_D1_rep2," Transcriptional Response of Mycobacterium tuberculosis H37Rv to Anti-TB drugs
(Submitter supplied) This SuperSeries is composed of the SubSeries listed below.",GSM3318577,dnf,Mycobacterium tuberculosis; Mycobacterium tuberculosis H37Rv,SRX4506281,H37Rv Mycobacterium tuberculosis,Manually IDd non-viable
GSM3318575,Y,Expression profiling by high throughput sequencing,GSE119585,ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119585,GPL22688,ftp.ncbi.nlm.nih.gov/geo/platforms/GPL22nnn/GPL22688, H37Rv_4LZD_D1_rep1," Transcriptional Response of Mycobacterium tuberculosis H37Rv to Anti-TB drugs
(Submitter supplied) This SuperSeries is composed of the SubSeries listed below.",GSM3318575,dnf,Mycobacterium tuberculosis; Mycobacterium tuberculosis H37Rv,SRX4506279,H37Rv Mycobacterium tuberculosis,Manually IDd non-viable
