Samples,Drug,Concentration,Treatment time (hrs),Experiment
T72_RIF_0.4x_C_READS,RIF,0.4,72,BL_data
T4_RIF_1x_A_READS,RIF,1,4,BL_data
T4_RIF_1x_B_READS,RIF,1,4,BL_data
T4_RIF_1x_C_READS,RIF,1,4,BL_data
T24_RIF_1x_A_READS,RIF,1,24,BL_data
T24_RIF_1x_B_READS,RIF,1,24,BL_data
T24_RIF_1x_C_READS,RIF,1,24,BL_data
T72_RIF_1x_A_READS,RIF,1,72,BL_data
T72_RIF_1x_B_READS,RIF,1,72,BL_data
T72_RIF_1x_C_READS,RIF,1,72,BL_data
DEL_Transcripts_H37Rv_T0_1_A.txt,No drug,0,0,BL_data
DEL_Transcripts_H37Rv_T0_1_C.txt,No drug,0,0,BL_data
DEL_Transcripts_H37Rv_T0_1_B.txt,No drug,0,0,BL_data
OPC_Transcripts_H37Rv_T0_1_A.txt,No drug,0,0,BL_data
OPC_Transcripts_H37Rv_T0_1_C.txt,No drug,0,0,BL_data
OPC_Transcripts_H37Rv_T0_1_B.txt,No drug,0,0,BL_data
TBA_Transcripts_H37Rv_T0_1_A.txt,No drug,0,0,BL_data
TBA_Transcripts_H37Rv_T0_1_C.txt,No drug,0,0,BL_data
TBA_Transcripts_H37Rv_T0_1_B.txt,No drug,0,0,BL_data
T0_A_READS,No drug,0,0,BL_data
T0_B_READS,No drug,0,0,BL_data
T0_C_READS,No drug,0,0,BL_data
T0_A_READS.1,No drug,0,0,BL_data
T0_B_READS.1,No drug,0,0,BL_data
T0_C_READS.1,No drug,0,0,BL_data
T0_A_READS.2,No drug,0,0,BL_data
T0_B_READS.2,No drug,0,0,BL_data
T0_C_READS.2,No drug,0,0,BL_data
T0_A_READS.3,No drug,0,0,BL_data
T0_B_READS.3,No drug,0,0,BL_data
T0_C_READS.3,No drug,0,0,BL_data
T0_A_READS,No drug,0,0,BL_data
T0_B_READS,No drug,0,0,BL_data
T0_C_READS,No drug,0,0,BL_data
T0_A_READS.1,No drug,0,0,BL_data
T0_B_READS.1,No drug,0,0,BL_data
T0_C_READS.1,No drug,0,0,BL_data
T0_A_READS.2,No drug,0,0,BL_data
T0_B_READS.2,No drug,0,0,BL_data
T0_C_READS.2,No drug,0,0,BL_data
T0_A_READS.3,No drug,0,0,BL_data
T0_B_READS.3,No drug,0,0,BL_data
T0_C_READS.3,No drug,0,0,BL_data
DEL_Transcripts_H37Rv_T4_0x_A.txt,No drug,0,4,BL_data
DEL_Transcripts_H37Rv_T4_0x_B.txt,No drug,0,4,BL_data
DEL_Transcripts_H37Rv_T4_0x_C.txt,No drug,0,4,BL_data
OPC_Transcripts_H37Rv_T4_0x_A.txt,No drug,0,4,BL_data
OPC_Transcripts_H37Rv_T4_0x_B.txt,No drug,0,4,BL_data
OPC_Transcripts_H37Rv_T4_0x_C.txt,No drug,0,4,BL_data
TBA_Transcripts_H37Rv_T4_0x_A.txt,No drug,0,4,BL_data
TBA_Transcripts_H37Rv_T4_0x_B.txt,No drug,0,4,BL_data
TBA_Transcripts_H37Rv_T4_0x_C.txt,No drug,0,4,BL_data
T4_0x_A_READS,No drug,0,4,BL_data
T4_0x_B_READS,No drug,0,4,BL_data
T4_0x_C_READS,No drug,0,4,BL_data
T4_CFZ_0x_A_READS,No drug,0,4,BL_data
T4_CFZ_0x_B_READS,No drug,0,4,BL_data
T4_CFZ_0x_C_READS,No drug,0,4,BL_data
T4_LZD_0x_A_READS,No drug,0,4,BL_data
T4_LZD_0x_B_READS,No drug,0,4,BL_data
T4_LZD_0x_C_READS,No drug,0,4,BL_data
T4_A_READS,No drug,0,4,BL_data
T4_B_READS,No drug,0,4,BL_data
T4_C_READS,No drug,0,4,BL_data
T4_0x_A_READS.1,No drug,0,4,BL_data
T4_0x_B_READS.1,No drug,0,4,BL_data
T4_0x_C_READS.1,No drug,0,4,BL_data
T4_0x_A_READS,No drug,0,4,BL_data
T4_0x_B_READS,No drug,0,4,BL_data
T4_0x_C_READS,No drug,0,4,BL_data
T4_CFZ_0x_A_READS,No drug,0,4,BL_data
T4_CFZ_0x_B_READS,No drug,0,4,BL_data
T4_CFZ_0x_C_READS,No drug,0,4,BL_data
T4_LZD_0x_A_READS,No drug,0,4,BL_data
T4_LZD_0x_B_READS,No drug,0,4,BL_data
T4_LZD_0x_C_READS,No drug,0,4,BL_data
DEL_Transcripts_H37Rv_T24_0x_A.txt,No drug,0,24,BL_data
DEL_Transcripts_H37Rv_T24_0x_B.txt,No drug,0,24,BL_data
DEL_Transcripts_H37Rv_T24_0x_C.txt,No drug,0,24,BL_data
OPC_Transcripts_H37Rv_T24_0x_A.txt,No drug,0,24,BL_data
OPC_Transcripts_H37Rv_T24_0x_B.txt,No drug,0,24,BL_data
OPC_Transcripts_H37Rv_T24_0x_C.txt,No drug,0,24,BL_data
TBA_Transcripts_H37Rv_T24_0x_A.txt,No drug,0,24,BL_data
TBA_Transcripts_H37Rv_T24_0x_B.txt,No drug,0,24,BL_data
TBA_Transcripts_H37Rv_T24_0x_C.txt,No drug,0,24,BL_data
T24_0x_A_READS,No drug,0,24,BL_data
T24_0x_B_READS,No drug,0,24,BL_data
T24_0x_C_READS,No drug,0,24,BL_data
T24_CFZ_0x_A_READS,No drug,0,24,BL_data
T24_CFZ_0x_B_READS,No drug,0,24,BL_data
T24_CFZ_0x_C_READS,No drug,0,24,BL_data
T24_LZD_0x_A_READS,No drug,0,24,BL_data
T24_LZD_0x_B_READS,No drug,0,24,BL_data
T24_LZD_0x_C_READS,No drug,0,24,BL_data
T24_A_READS,No drug,0,24,BL_data
T24_B_READS,No drug,0,24,BL_data
T24_C_READS,No drug,0,24,BL_data
T24_0x_A_READS.1,No drug,0,24,BL_data
T24_0x_B_READS.1,No drug,0,24,BL_data
T24_0x_C_READS.1,No drug,0,24,BL_data
T24_0x_A_READS,No drug,0,24,BL_data
T24_0x_B_READS,No drug,0,24,BL_data
T24_0x_C_READS,No drug,0,24,BL_data
T24_CFZ_0x_A_READS,No drug,0,24,BL_data
T24_CFZ_0x_B_READS,No drug,0,24,BL_data
T24_CFZ_0x_C_READS,No drug,0,24,BL_data
T24_LZD_0x_A_READS,No drug,0,24,BL_data
T24_LZD_0x_B_READS,No drug,0,24,BL_data
T24_LZD_0x_C_READS,No drug,0,24,BL_data
DEL_Transcripts_H37Rv_T72_0x_A.txt,No drug,0,72,BL_data
DEL_Transcripts_H37Rv_T72_0x_B.txt,No drug,0,72,BL_data
DEL_Transcripts_H37Rv_T72_0x_C.txt,No drug,0,72,BL_data
OPC_Transcripts_H37Rv_T72_0x_A.txt,No drug,0,72,BL_data
OPC_Transcripts_H37Rv_T72_0x_B.txt,No drug,0,72,BL_data
OPC_Transcripts_H37Rv_T72_0x_C.txt,No drug,0,72,BL_data
TBA_Transcripts_H37Rv_T72_0x_A.txt,No drug,0,72,BL_data
TBA_Transcripts_H37Rv_T72_0x_B.txt,No drug,0,72,BL_data
TBA_Transcripts_H37Rv_T72_0x_C.txt,No drug,0,72,BL_data
T72_0x_A_READS,No drug,0,72,BL_data
T72_0x_B_READS,No drug,0,72,BL_data
T72_0x_C_READS,No drug,0,72,BL_data
T72_CFZ_0x_A_READS,No drug,0,72,BL_data
T72_CFZ_0x_B_READS,No drug,0,72,BL_data
T72_CFZ_0x_C_READS,No drug,0,72,BL_data
T72_A_READS,No drug,0,72,BL_data
T72_B_READS,No drug,0,72,BL_data
T72_C_READS,No drug,0,72,BL_data
T72_0x_A_READS.1,No drug,0,72,BL_data
T72_0x_B_READS.1,No drug,0,72,BL_data
T72_0x_C_READS.1,No drug,0,72,BL_data
T72_LZD_0x_A_READS,No drug,0,72,BL_data
T72_LZD_0x_B_READS,No drug,0,72,BL_data
T72_LZD_0x_C_READS,No drug,0,72,BL_data
T72_0x_A_READS,No drug,0,72,BL_data
T72_0x_B_READS,No drug,0,72,BL_data
T72_0x_C_READS,No drug,0,72,BL_data
T72_CFZ_0x_A_READS,No drug,0,72,BL_data
T72_CFZ_0x_B_READS,No drug,0,72,BL_data
T72_CFZ_0x_C_READS,No drug,0,72,BL_data
T72_A_READS,No drug,0,72,BL_data
T72_B_READS,No drug,0,72,BL_data
T72_C_READS,No drug,0,72,BL_data
